#gene	origin	count
HSPA8	imputed	16
RBX1	imputed	9
TP53	imputed	25
BTRC	imputed	5
LAMTOR2	imputed	5
PPP2R5C	imputed	2
PPP2CA	imputed	13
CDC20	imputed	8
UBB	imputed	19
CDC5L	imputed	39
RPS27A	imputed	32
MAPK1	imputed	25
RAB11A	imputed	9
RPS13	imputed	5
EGFR	imputed	10
CCT2	group1	8
DKC1	group1	2
PAK1	group1	6
ARF1	group1	12
NHP2L1	group1	9
TRAPPC1	group1	14
RRP9	group1	6
EGF	group1	7
VAMP8	group1	16
NOP58	group1	12
DCTN2	group1	4
RARA	group1	2
GNS	group1	3
ITGAV	group1	4
SCAMP1	group1	1
HSP90AA1	group1	14
PLK1	group1	13
POLR2H	group1	9
SKP1	group1	11
CD59	group1	14
SNW1	group1	4
DYNC1H1	group1	15
PLD1	group1	2
PRKCD	group1	9
FBXO4	group1	2
AKT1	group1	12
NRAS	group1	11
COPB1	group1	11
